439|9|2|0|0|1.08|2129.02
447|40|2|0|1|0.47|3070.14
523|32|2|0|1|0.65|1123.62
702|59|2|0|1|1.13|6142.87
797|59|1|0|1|7.51|14822.12
797|68|1|0|0|2.39|7275.17
812|68|1|0|0|0.57|3588.41
917|59|1|0|1|1.28|3095.02
966|32|2|0|1|0.66|991.01
1022|17|2|0|1|0.47|3733.6
1133|17|2|0|1|0.1|826.01
1142|59|1|0|1|0.85|995.03
1190|59|2|0|1|2.46|12274.59
1270|9|2|0|0|2.48|10573.14
1270|94|2|0|0|0.37|833.52
1554|32|2|0|1|0.06|703.52
1592|32|2|0|1|3.66|17970.21
1777|59|1|0|1|0.29|337.08
2083|15|2|0|1|2.8|8968.24
2083|26|2|0|1|8.09|18190.43
2083|52|2|0|1|3.31|23936.77
2083|59|1|0|1|7.94|6565.64
2360|59|2|0|1|6.24|28228.08
2486|68|1|0|0|1.36|9833.49
2584|52|1|0|1|0.98|5136.24
2716|26|2|0|1|3.76|21409.4
2821|59|2|0|1|3.12|18130.87
2874|87|1|0|0|0.12|828.72
2891|59|1|0|1|0.47|5191.11
2913|52|2|0|1|1.33|8633.59
2916|17|1|0|1|3.73|2793.73
2916|32|2|0|1|2.26|10725.29
2916|59|2|0|1|1.26|8412.11
3014|17|1|0|1|0.42|256.53
3032|59|1|0|1|0.22|424.1
3091|81|1|0|1|3.91|9491.2
3316|68|1|0|0|0.67|935.39
3494|59|1|0|1|0.22|740.31
3555|59|1|0|1|2.45|12485.51
3643|40|2|0|1|1.28|8268.44
3710|59|1|0|1|0.54|1657.54
3931|17|1|0|1|1.22|3197.19
4024|15|2|0|1|0.66|4594.66
4024|32|2|0|1|21.11|113457.35
4024|40|2|0|1|18.17|35750.23
4024|52|2|0|1|8.07|20291.96
4024|59|2|0|1|2.77|6234.74
4024|81|2|0|1|13.86|27558.03
4024|87|2|0|0|11.92|100091.9
4052|17|2|0|1|4.68|13156.85
4377|9|2|0|0|1.78|4931.13
4926|32|2|0|1|1.18|5848.38
4990|15|2|0|1|1.51|10334.44
5062|9|2|0|0|0.03|260.52
5062|59|2|0|1|0.05|498.09
5142|17|2|0|1|0.32|1759.66
5142|52|2|0|1|0.73|3595.83
5142|59|2|0|1|0.59|1795.15
5377|40|2|0|1|1.65|4211.15
5380|40|2|0|1|1.28|8459.73
5462|81|1|0|1|0.43|1602.33
5498|15|2|0|1|1.1|8016.07
5498|23|2|0|1|0.91|4529.87
5548|59|2|0|1|0.28|2642.44
5638|59|1|0|1|0.49|563.51
5696|59|1|0|1|7.62|9711.83
5760|40|2|0|1|1.18|9101.24
5844|26|2|0|1|1.81|13938.73
5897|15|2|0|1|2.13|15495.54
6132|52|2|0|1|0.11|565.47
6307|17|1|0|1|1.18|5418.44
6454|94|2|0|0|4.79|18499.91
6732|59|1|0|1|0.16|449.02
6950|59|2|0|1|0.03|689.41
7104|9|2|0|0|0.5|4333.49
8269|32|2|0|1|1.54|16155.27
8623|26|2|0|1|0.57|3701.32
8690|43|2|0|0|0.5|3826.19
8954|32|2|0|1|0.76|3894.18
8982|17|2|0|1|0.66|3930.07
8986|59|2|0|1|0.4|1998.71
9006|59|2|0|1|1.43|4528.46
9086|26|2|0|1|0.78|5642.05
9086|52|2|0|1|0.78|5628.24
9158|9|2|0|0|2.06|7222.11
9209|59|2|0|1|0.68|3579.52
9270|15|2|0|1|3.3|20934.45
9270|94|2|0|0|1.12|5827.37
9474|68|1|0|0|0.15|448.57
9594|59|1|0|1|0.13|706.46
9609|17|1|0|1|0.8|2802.89
9613|55|2|0|1|2.36|15188.43
9925|26|2|0|1|4.89|32266.08
9944|17|2|0|1|1.91|16207.2
9944|32|2|0|1|0.9|3801.79
10091|87|1|0|0|0.51|4400.97
10117|59|2|0|1|0.41|3623.43
10133|17|2|0|1|0.91|4652.91
10376|9|2|0|0|9.8|21404.51
10376|59|2|0|1|10.31|51490.71
10547|15|2|0|1|1.41|5605.89
10999|32|2|0|1|0.73|952.75
11208|40|2|0|1|3.46|27539.95
11220|15|2|0|1|1.81|12100.35
11220|87|2|0|0|2.02|17700.32
11395|17|1|0|1|5.28|20117.58
11395|59|1|0|1|4.57|9488.9
11395|59|2|0|1|4.57|32678.7
11536|32|2|0|1|1.26|6243.31
11559|17|1|0|1|0.43|2676.72
11587|9|2|0|0|7.92|10439.63
11587|59|2|0|1|3.01|4820.24
12086|87|1|0|0|3.12|18401.59
12136|59|2|0|1|0.02|363.62
12574|32|2|0|1|1.66|13335.33
12592|59|1|0|1|0.08|328.8
12622|17|2|0|1|1.31|3992.98
12869|87|2|0|0|3.9|15610.57
12869|94|2|0|0|3.04|8877.93
12930|40|1|0|1|0.87|3010.63
12970|17|1|0|1|0.6|4639.4
13040|9|2|0|0|2.96|22198.4
13054|15|2|0|1|1.95|13623.55
13054|59|2|0|1|2.77|5344.6
13054|81|2|0|1|1.38|5417.82
13154|15|2|0|1|2.67|15978.61
13199|68|1|0|0|0.21|2065.84
13303|32|2|0|1|0.82|6109.22
13313|17|2|0|1|1.85|5816.18
13313|32|2|0|1|4.57|16437.38
13333|94|2|0|0|1.46|9800.46
13439|32|2|0|1|1.4|1005.42
13450|17|1|0|1|1.17|4239.49
13488|15|1|0|1|0.16|202.89
13581|17|1|0|1|1.76|8316.19
13708|52|2|0|1|1.13|6722.19
13733|59|1|0|1|1.96|4576.49
13751|52|2|0|1|4.83|28631.11
13822|59|2|0|1|0.42|3158.83
13847|87|1|0|0|0.98|2881.23
13871|17|1|0|1|1.5|4146.29
13871|32|2|0|1|1.05|10594.84
13871|59|1|0|1|1.41|4237.91
